,frame,nariz_x,cuello_x,hombroI_x,hombroD_x,codoI_x,codoD_x,manoI_x,manoD_x,caderaI_x,caderaD_x,caderaM_x,rodillaI_x,rodillaD_x,tobilloI_x,tobilloD_x,nariz_y,cuello_y,hombroI_y,hombroD_y,codoI_y,codoD_y,manoI_y,manoD_y,caderaI_y,caderaD_y,caderaM_y,rodillaI_y,rodillaD_y,tobilloI_y,tobilloD_y,angCuelloI,angCuelloD,angCodoI,angCodoD,angHombroI,angHombroD,angCaderaI,angCaderaD,angCaderaTorsoI,angCaderaTorsoD,angRodillaI,angRodillaD
0,0,462.22302,482.86968994140625,528.6515,437.08792,574.4333,425.41806,538.526,421.82733,503.5164,446.06473,474.7905578613281,504.4141,455.93924,508.90247,462.22302,168.31607,190.79908752441406,201.59093,180.00725,272.63727,254.65086,337.38837,316.704,357.17343,352.67682,354.92510986328125,446.20618,438.11227,527.145,509.15863,145.8257890050221,34.174202465988984,241.80772916794473,185.57400308966436,223.93870692645467,274.3780783694236,264.94699484755404,281.0681721327968,91.657198948904,88.34286155004173,177.40376814316446,181.5386180449941
1,1,462.45993,483.0693054199219,528.7684,437.37024,574.46747,425.72144,538.62506,422.1372,504.57477,446.3308,475.4527893066406,504.57477,456.1875,509.05502,461.56387,171.18347,191.42047119140625,202.66325,180.17769,272.8182,255.72919,337.57666,314.19168,356.46454,352.86685,354.66571044921875,444.60794,436.51315,527.35486,509.36636,149.34362168372357,30.656378316276438,242.04388978868707,185.25679544423062,223.09838523624492,275.05625000492626,266.46540222801934,280.25526911710193,90.86329179346643,89.13664839320874,183.09920698731528,182.49998083105174
2,2,460.15347,483.44158935546875,529.1221,437.76108,574.80255,426.11707,538.97473,421.63858,504.0426,446.71805,475.38031005859375,504.0426,456.5707,509.41675,461.9449,175.83643,192.48060607910156,203.72667,181.23454,273.00244,255.00871,337.77975,309.88953,356.67313,353.0744,354.873779296875,443.9426,436.74512,526.7137,509.6196,158.27692853581186,21.72308034916198,242.34751901805083,184.30398405501384,222.76853498424654,274.86139286370405,266.4078284697371,280.30818394650066,90.75031279271344,89.24962262753671,183.71483925796522,182.49817766111084
3,3,460.64117,484.0220947265625,529.88464,438.15955,574.84784,427.36835,538.87726,420.17422,503.8059,447.15222,475.47906494140625,503.8059,457.04413,510.10077,462.43973,176.6338,193.2784423828125,204.52481,182.03207,273.80246,255.80827,337.68185,309.79083,356.57574,353.87662,355.2261962890625,443.84756,436.6499,527.52057,509.5264,158.33146259418046,21.668537405819535,242.36866528372119,180.7308798737484,223.23712508958263,275.45653051512414,267.2723751461176,279.5425579490092,89.70797028711627,90.29196812576777,184.30234480961303,182.58042679909613
4,4,460.63113,483.5210876464844,528.8522,438.19,576.42737,427.41827,538.72626,420.23712,506.41104,448.96176,477.6864013671875,504.61572,457.04056,509.10394,461.52878,178.32709,195.40283203125,204.39008,186.4156,274.49048,256.51602,338.29987,309.5407,357.17307,354.4769,355.8249816894531,444.34924,436.26074,525.2344,507.25986,154.49124182492645,25.508776731874324,244.7399293786312,181.02336223438667,224.6224273735018,272.4780813914966,268.4927992631781,278.3284977134893,90.60401471217884,89.39598528782118,184.35586617194926,182.02449038179213
5,5,461.28485,483.707275390625,529.4489,437.9656,576.08746,427.20285,539.31476,420.0277,505.23276,449.6252,477.4289855957031,504.33585,456.80038,508.8203,461.28485,178.32527,195.41326904296875,204.40697,186.41959,274.55777,256.57037,338.413,309.63318,357.2997,354.60162,355.95068359375,444.53854,435.54483,525.48175,506.595,153.81276152525385,26.187264112694965,243.5538806896368,181.0216273663375,225.25916560112947,272.40106144611116,267.81125012259696,277.84357120281265,90.53821387255233,89.46172338697873,183.76020537443245,181.45414226533939
6,6,461.78244,485.99871826171875,531.74054,440.2569,579.2761,431.28793,540.7095,424.11276,506.62735,449.2259,477.9266357421875,504.8336,457.29797,509.31805,461.78244,181.83864,197.58657836914062,207.03534,188.13782,276.32626,259.22852,339.318,312.32153,360.01526,356.41574,358.21551513671875,445.50406,436.50525,525.5935,506.69604,158.63516700498238,21.36483299501762,245.92828667156502,179.49448904810535,223.87747249108733,274.48069856362065,267.6138638985258,279.34352814057206,90.71130065117794,89.28864247002988,184.4068740246709,182.09966344379728
7,7,463.26852,488.4153137207031,536.0146,440.81604,583.61383,431.83505,543.1994,424.65027,509.0716,451.59323,480.3323974609375,506.3773,456.98184,509.96967,461.47235,187.48131,200.0808563232422,213.58035,186.58136,280.1779,257.6787,341.37567,309.87683,360.27496,357.57507,358.9250183105469,444.87186,435.87216,526.7688,508.76947,169.22101486675365,10.778985133246367,248.99491183530654,179.36233854804394,218.61176052644328,278.6342694982146,269.1348468784493,276.6263759388123,89.77630514135332,90.2236920070846,184.33579907616777,180.4121149451839
8,8,466.90848,492.0713806152344,540.59985,443.5429,587.331,433.65747,545.99194,427.36673,509.14618,450.7323,479.9392395019531,505.55148,454.327,509.14618,460.61774,187.80063,202.63568115234375,214.77345,190.49791,281.30643,256.13177,345.14215,315.47202,361.3258,353.23398,357.2799072265625,441.3452,433.25336,524.0619,506.9791,163.52060522802043,16.47939477197956,248.00975950036974,182.51388709620187,220.87420393908698,275.4773080645796,264.68543728556875,280.45893759045816,93.40094285436257,86.59899840593387,185.06059143013283,177.6951440131572
9,9,469.49533,495.56036376953125,544.99396,446.12674,589.03485,432.64484,548.5892,428.15088,510.83984,453.31708,482.0784606933594,505.44708,439.83517,509.04224,457.81107,190.37265,206.09365844726562,216.42462,195.76271,282.90207,259.54514,343.98944,317.03912,358.36295,349.37952,353.8712158203125,440.11224,419.45035,524.55664,504.79297,160.7080698874824,19.291954140809768,247.0325916565727,187.46571960294776,224.6716152380005,269.86901683142395,264.8978559033419,267.9854071904752,93.66358560211384,86.33647374474933,186.21202472041358,202.7853011565311
10,10,470.00742,495.107421875,544.4111,445.8038,590.1289,434.1502,548.8932,426.9788,511.24313,452.97522,482.10919189453125,504.9681,439.52878,508.55386,456.56094,190.06163,206.25442504882812,216.15001,196.35883,282.7204,260.2304,343.89316,319.60397,358.28674,349.29077,353.78875732421875,440.1503,417.66034,524.71265,503.12228,158.52155252637877,21.478423585683636,248.46306549520514,183.45298346556527,224.17142775372037,271.00881733974285,265.6066849388022,267.65006461855825,93.74165830338337,86.25835074688273,186.8113464993255,202.39761961924117
11,11,468.40573,495.81048583984375,543.88116,447.7398,586.1115,434.2621,543.88116,424.3784,507.04196,450.4354,478.7386779785156,505.24493,423.47986,508.839,427.07394,192.32146,207.16448974609375,222.90709,191.4219,289.4758,257.091,350.64703,317.36267,359.6428,347.9483,353.7955322265625,446.90176,425.31192,527.8637,517.9683,169.6920578806553,10.307958544794658,247.0102842587434,182.28541726846495,219.47644500772304,276.53486341401435,259.50710437499976,262.4629366601348,95.03181294819908,84.96824630129538,183.72162846600023,201.43103856865764
12,12,451.60156,482.0963134765625,528.7353,435.4573,574.47736,425.59137,535.9105,415.7254,499.13748,440.8387,469.98809814453125,500.0344,419.31302,508.10654,385.23068,196.60405,210.08070373535156,221.76048,198.40092,290.0423,264.88583,355.62875,331.37073,365.51163,355.62875,360.5701904296875,450.86386,440.08252,530.82544,532.6223,170.21716166307652,9.78284717163196,244.2749984018284,179.97202855411595,222.12242451416932,275.6186659164381,259.7765609019468,265.32220468882963,95.02133236121388,84.97866763878613,174.83757044934228,174.0804986213597
13,13,452.26947,482.3682861328125,528.6396,436.09695,574.46173,426.21378,535.8274,415.4321,498.99008,440.58932,469.7897033691406,499.88852,419.02597,507.97473,385.7825,196.37398,209.87034606933594,221.5672,198.1735,289.9488,264.75555,355.6311,331.33765,365.52844,355.6311,360.57977294921875,451.00543,440.20834,531.0839,531.98364,170.03495833564796,9.965050643113234,244.28987455384072,179.24462706788793,221.98765288106566,275.74339694137325,259.77910989291865,265.31557629977095,94.847693766712,85.15230623328802,174.8360814681032,174.39139517200036
14,14,420.67258,452.0771179199219,498.73526,405.41898,549.87976,378.5008,511.29706,396.44623,477.2007,417.08353,447.1421203613281,484.37894,399.13806,506.81073,382.0899,195.25717,212.7879180908203,223.12657,202.44926,291.45157,169.18578,359.77658,341.7963,369.6657,360.6756,365.170654296875,452.37494,446.98083,530.5891,539.5792,163.32263208214044,16.67736791785957,246.26973465836312,326.95420949349557,220.6894994679562,141.47510508917014,256.53464156834724,266.75901371304786,96.65025652739425,83.34974347260577,168.9573513098516,181.31447855719097
15,15,419.94574,450.8935546875,497.09106,404.69608,549.1194,403.79904,511.4437,396.6227,477.35623,416.35757,446.8569030761719,484.53253,398.41678,507.8556,381.37305,195.49385,212.12179565429688,221.5593,202.68431,290.76755,265.6009,360.8746,340.202,370.76147,359.07697,364.9192199707031,452.55304,448.95782,528.9518,538.8387,163.29717180648626,16.702838937616487,245.18823567499413,175.32215871057633,221.51959070270985,280.72900553981316,254.1419199960086,269.55560520586073,99.33054661252991,80.66945338747009,168.03778928151442,180.55106831365865
16,16,403.57047,435.91082763671875,479.0313,392.79037,531.1352,382.01022,496.09982,376.62015,465.55615,404.4688,435.0124816894531,479.0313,390.09534,506.87997,382.01022,192.28616,210.26583862304688,218.3567,202.17499,295.66934,272.29575,362.19412,341.5175,370.28497,363.9921,367.1385498046875,449.39557,453.8905,530.30414,541.0919,161.55512884306646,18.44488339256132,241.7511068997253,184.2875232991141,225.39542429234646,271.88700657351364,254.4518855289644,266.7976793973216,95.5534110031573,84.44653235113189,170.67319045200716,183.78672016879042
