,frame,nariz_x,cuello_x,hombroI_x,hombroD_x,codoI_x,codoD_x,manoI_x,manoD_x,caderaI_x,caderaD_x,caderaM_x,rodillaI_x,rodillaD_x,tobilloI_x,tobilloD_x,nariz_y,cuello_y,hombroI_y,hombroD_y,codoI_y,codoD_y,manoI_y,manoD_y,caderaI_y,caderaD_y,caderaM_y,rodillaI_y,rodillaD_y,tobilloI_y,tobilloD_y,angCuelloI,angCuelloD,angCodoI,angCodoD,angHombroI,angHombroD,angCaderaI,angCaderaD,angCaderaTorsoI,angCaderaTorsoD,angRodillaI,angRodillaD
0,0,496.15836,497.5076904296875,536.6387,458.3767,548.333,458.3767,549.23254,488.06226,529.44214,472.76974,501.10595703125,539.33734,497.95746,543.83514,479.06665,239.84439,281.1899719238281,278.49353,283.8864,349.50003,347.7024,323.43433,311.74973,376.4645,378.26212,377.3633117675781,447.47098,426.79825,535.55505,540.94794,87.92730225352595,92.07269774647405,11.328807035703377,39.545941520727574,264.5896021854438,266.05808787772037,263.8833346775107,295.6101813461031,90.3259144489851,89.67408359569554,185.01032123784154,216.82374412749516
1,1,494.62552,498.6529541015625,536.6898,460.61612,551.0096,458.82614,549.2196,487.46567,528.63495,474.0409,501.3379211425781,537.5848,497.31046,543.8497,478.5158,237.85593,276.545654296875,272.04684,281.04446,340.42868,342.2282,319.73416,304.43823,375.51935,380.0182,377.7687683105469,445.7007,425.90598,536.5766,541.97516,89.19752125597327,90.80248410604152,6.883845001698256,324.5187074694416,264.91798479173576,261.5789196342571,267.4434544524425,292.1785988550977,86.80859498461339,93.19140501538662,183.32372896571195,216.0872858104277
2,2,494.8723,496.2138977050781,533.3315,459.0963,553.0083,459.9907,547.6419,485.92828,528.8595,474.3011,501.5802917480469,537.8035,496.6611,544.06433,478.7731,237.77577,276.400390625,272.8074,279.99338,340.17593,341.0742,305.14432,299.75482,377.0041,378.80057,377.90234375,446.1691,426.40768,536.8921,539.5868,86.46029303211489,93.53970696788511,7.572611095999274,32.95680338690291,259.2471279273197,265.30988362918055,264.5176852715843,293.2725119216048,91.14043819947112,88.85949777246586,183.42051274625103,214.1397393308686
3,3,492.83044,495.5108642578125,532.1439,458.87784,552.6942,458.87784,549.1202,488.36298,528.57,474.06714,501.3185729980469,537.5048,495.51093,544.6528,478.5346,236.92818,276.4891357421875,272.8927,280.0856,338.52798,337.62888,300.76523,293.57233,376.29074,378.98804,377.639404296875,445.52243,426.64105,537.232,539.9293,88.26908183654544,91.730970079961,11.978637209753915,33.7926751073399,258.2217751192279,264.3929259558689,265.47947756282053,291.3945035107605,90.45288811907211,89.54704787488586,182.89711535015294,212.7500690423378
4,4,492.76727,495.89410400390625,532.96954,458.81866,550.8373,458.81866,549.0504,491.87387,528.5027,473.1128,500.8077392578125,537.43646,495.44745,544.58356,478.47308,236.47829,279.2230224609375,278.7731,279.67297,342.66522,336.366,312.9689,286.8721,376.86102,377.76093,377.31097412109375,445.2526,426.35492,537.04126,538.84106,93.48854020910944,86.51150694531346,12.180504304447288,33.73754523545415,255.071362610067,269.3046869317113,263.4885561300234,293.75355929772684,91.9370029073788,88.06299709262122,182.9898966398384,213.26563904164703
5,5,493.80655,495.60284423828125,532.42664,458.77905,549.4913,458.77905,549.4913,491.1121,529.7322,474.94562,502.3388977050781,538.71356,493.80655,544.1024,477.63998,236.81612,276.7838134765625,273.64032,279.92734,342.79788,336.51083,301.48297,287.11255,376.02942,378.72388,377.37664794921875,446.9833,427.224,537.6965,540.3909,87.69407849031218,92.30596864981986,13.860852929901839,33.206265801053874,261.0184138110603,265.1206802266206,265.6014287941624,288.43467664918813,91.01541418232061,88.9845858176794,183.81434145379396,209.3802859322853
6,6,493.9574,495.74798583984375,532.45465,459.0413,549.465,459.0413,549.465,491.27158,529.76874,474.26114,502.01495361328125,538.7216,493.9574,544.0933,477.8423,236.8738,276.8946228027344,273.74692,280.04233,342.99643,336.70102,301.6266,287.23706,376.27216,378.97018,377.62115478515625,446.42102,426.63544,538.1542,539.9529,87.66049361652648,92.33950232843873,13.800838618985875,33.08791569821048,261.10046135500085,265.09871205233156,265.50956440313416,289.6686306849202,90.77749368970727,89.22256610814628,183.9218622917083,210.54529763863604
7,7,498.23834,493.75616455078125,530.5102,457.00214,545.7497,450.72702,541.26746,476.7238,529.6138,472.2416,500.92767333984375,543.06036,495.549,545.7497,478.5167,242.38701,277.4723205566406,273.87384,281.0708,335.94778,328.75082,300.86252,281.0708,376.43088,378.2301,377.33050537109375,449.30032,426.80975,534.7645,540.16223,77.12800887889978,102.87199112110021,6.513369991588063,338.8968328233033,261.7982148012329,256.9106133172662,261.3410955248928,293.8344133049462,92.31148457637897,87.68845643928435,188.65283380145266,214.175952993848
8,8,494.72064,499.6483154296875,537.726,461.5706,535.0382,435.58817,521.599,459.77872,528.7666,474.11386,501.44024658203125,546.6855,494.72064,545.78955,478.59357,252.88588,281.2316589355469,280.78174,281.68158,331.17422,322.17557,276.28238,273.5828,378.86716,379.76703,379.31707763671875,449.9566,427.45993,532.7443,539.94324,99.18486186332653,80.81513759416531,16.810265217296745,6.220566185171964,273.73008325802886,236.6373195222584,256.79593750550094,292.4244984436686,90.1033517457164,89.89671117051896,194.7673694106098,211.52690510539358
9,9,494.76736,499.69451904296875,537.7681,461.62094,535.08057,435.6413,521.6428,458.93338,528.80963,474.1628,501.4862060546875,546.7266,494.76736,545.83075,478.64206,253.76784,281.2173767089844,280.7674,281.66736,331.16653,322.16672,275.36746,274.4675,378.86575,379.76578,379.3157653808594,449.9646,427.46497,532.7632,539.9631,99.49901434632122,80.50098619637797,16.592776626197907,6.652692617164806,273.72956874226185,236.6433902752211,256.79945924433247,292.41926178652056,90.10277780067926,89.89722325300235,194.76400895753818,211.51995197281852
10,10,478.50198,494.67987060546875,530.63086,458.7289,509.0603,418.28412,473.1093,422.77798,527.03577,472.21054,499.6231689453125,551.3027,496.47748,546.8088,478.50198,237.8466,278.2904357910156,278.29044,278.29044,319.63303,312.44302,271.99918,270.2017,382.5457,381.64694,382.0963134765625,439.16708,426.58456,531.7385,542.52356,111.8018418200468,68.1981581799532,64.59654139615228,43.74881987931947,297.5533669985545,220.17857717833408,245.8617443859331,299.3088170801455,93.66555836499114,86.33444268035595,205.97834629162037,217.18277985140605
11,11,474.63654,494.79437255859375,529.28656,460.30215,499.7218,406.54807,463.88577,406.54807,528.3906,471.94888,500.16973876953125,552.58,496.1382,547.2046,478.22015,238.7281,276.0542907714844,276.504,275.60458,310.68222,308.8834,267.50974,268.40918,380.83752,379.93808,380.3878173828125,435.70255,426.70825,534.6394,541.83484,119.11803824784428,60.88196241298107,80.55530571264374,58.23861882611088,310.1133969925612,212.50835708017908,245.29489280530555,298.2608195251429,93.86227296071536,86.1376641092058,206.90208839572958,216.19421925207342
12,12,468.38382,491.70086669921875,523.9861,459.41568,485.42325,404.7102,441.47946,397.53574,527.57336,472.86786,500.2206115722656,552.684,493.4945,546.4064,479.1455,234.06108,275.370361328125,276.2684,274.47235,305.00528,296.02502,253.8177,261.00192,381.33768,380.43967,380.888671875,428.03513,424.44302,534.00244,542.9827,121.03590039941693,58.96415221224838,93.95227097713854,80.07357930067191,321.7133426076347,203.0965426366992,240.79126639437897,296.05536081511076,95.55660007576395,84.44339992423605,211.6586184733481,212.01687555569362
13,13,466.97324,489.8247375488281,522.53375,457.11572,468.76553,404.24365,424.8548,389.0093,527.0144,473.24615,500.1302795410156,553.8985,493.85733,546.72943,478.62302,233.85811,272.99261474609375,277.04102,268.94424,292.335,290.5357,249.15207,256.3492,382.2994,381.39975,381.8495788574219,426.38196,424.58267,532.54,540.6368,127.33722508274879,52.66282756778077,119.60076512193864,91.80521467192337,337.0663492046415,209.26929643526648,237.6641478189269,296.4736985596934,96.3666930767612,83.63330692323882,215.24069752318294,212.9935106447354
14,14,464.38263,488.2095642089844,521.9269,454.49225,465.28177,404.14105,420.32535,385.25937,526.4225,473.37396,499.8982238769531,555.1946,495.85214,544.4051,477.8696,234.36435,272.5469970703125,274.79303,270.30096,289.16766,288.26926,247.84058,255.02788,381.7044,381.7044,381.70440673828125,424.82837,425.72678,532.6382,540.7239,125.77625227133757,54.22374772866243,123.16942968024358,99.95791971054734,341.9497726774789,203.45046460573226,236.2889768189121,297.049227736711,96.11198668350264,83.88801331649736,219.42608718240504,215.936803082634
15,15,463.066,485.53961181640625,518.8006,452.27866,460.3692,398.342,405.53357,376.76733,525.9921,472.05545,499.0238037109375,555.6573,494.52905,541.27423,479.247,233.15979,269.15252685546875,269.15253,269.15253,282.6498,287.1489,240.35834,245.75723,377.13074,377.13074,377.1307373046875,424.82114,425.72098,532.7994,539.9979,121.98035493098588,58.01964506901413,129.35229450185753,99.07832111904393,346.9931694682951,198.45165486308704,238.11688576964747,294.8211399910864,97.11818016405365,82.88181983594636,219.4704424308751,212.43801135953825
16,16,463.62555,484.29046630859375,516.6356,451.94534,452.8438,396.23984,397.13834,376.4734,525.62036,472.61032,499.1153564453125,554.3716,490.5798,540.8944,478.89963,234.8157,271.70648193359375,269.00717,274.40582,275.3056,287.00266,232.1164,243.81348,376.08038,376.98016,376.5302734375,424.6682,425.568,533.541,540.7392,114.48554762699926,65.51451053775686,136.57430430379725,101.85007335593764,359.1316343456998,187.97160527340677,240.35805604240124,289.32372936146453,97.077338410529,82.92266047003885,217.6710154336569,206.08706924282862
17,17,463.99747,480.19091796875,511.6782,448.70364,444.20547,393.82587,392.9262,377.63242,526.0724,472.09418,499.0832824707031,553.96106,488.28763,542.26575,477.492,237.54306,269.4676513671875,267.21945,271.71585,269.9173,287.00372,228.5502,242.03946,376.9322,376.9322,376.93218994140625,425.4936,426.39288,533.4078,542.40063,112.81197414965308,67.18802585034692,138.8170925404193,94.23920722417077,1.7941698705800695,191.482782807724,240.1313726989971,288.12846851073795,99.97076505065525,80.02923494934475,216.0539818080347,203.44507010959765
18,18,463.00787,479.19744873046875,509.7778,448.6171,439.6229,393.75235,387.45642,375.76392,525.068,472.90146,498.9847412109375,554.7489,489.0911,541.2575,478.29803,238.75499,268.8459777832031,267.49863,270.19333,268.39685,285.46338,227.07788,240.55147,377.9819,378.88016,378.4310302734375,422.89386,425.5886,533.3772,540.5631,115.75838793219005,64.24161206780995,140.88513721731576,96.27439869115948,1.7891367808937682,193.0302533588734,237.52700882203408,288.1303787913908,99.24888313004631,80.7511157159975,220.42153261242103,204.47969350469285
19,19,460.05634,475.78570556640625,505.89618,445.6752,429.49646,392.64484,383.65662,377.3649,525.6702,472.6398,499.155029296875,557.1289,488.8186,540.95013,478.03275,238.38634,267.17333984375,263.57498,270.77173,261.77576,285.16522,226.6916,238.38634,377.82343,378.72302,378.2732238769531,424.60236,427.30112,536.15204,543.34875,111.83760096501851,68.16244944570371,143.9199541900925,92.90383010935241,8.163887995587224,188.37049106256868,237.0511551160177,287.4483372781083,100.90685805722161,79.09314082443396,222.1731346250708,203.730203186689
20,20,460.3233,475.1109619140625,505.1344,445.0875,428.95554,393.10663,384.1444,376.97464,525.7475,472.8704,499.3089599609375,557.1153,489.0024,540.9833,477.35153,238.99866,266.84967041015625,263.25598,270.44336,261.45914,284.81802,227.31921,238.99866,378.25366,379.15207,378.702880859375,424.07303,427.66672,533.68024,543.5628,111.14072042431263,68.85927270320138,144.04877155783896,93.93792074969234,8.176801813994935,188.63251855401924,236.57799761370774,287.41956719602075,101.23366251114597,78.76627024903294,222.76812606404894,204.13349853642157
21,21,457.11905,474.2034912109375,502.97726,445.4297,428.34528,391.47888,383.38623,372.59607,525.4568,471.50592,498.4813537597656,558.72644,488.59036,540.7428,477.80023,237.75606,266.05596923828125,259.3179,272.79407,259.3179,287.16864,229.67036,238.65446,376.1112,376.1112,376.1112060546875,425.52383,426.42224,535.1299,542.31714,107.93937236648112,72.06067175193934,146.59777083533103,96.34789835681798,13.179689793296909,181.73956666786233,236.047512164184,288.7562777895005,102.44004460666899,77.55995539333102,223.27029523220662,204.07533264544975
22,22,457.68063,472.0477600097656,501.68,442.41553,430.74225,391.2326,380.4572,375.9675,525.0266,472.04776,498.53717041015625,558.2507,488.21082,540.2917,477.4355,234.63094,265.21112060546875,259.81464,270.60764,261.61346,286.79715,232.83212,240.92688,375.83948,375.83948,375.8394775390625,424.408,425.30743,535.9357,543.1311,104.84366355908654,75.15639355432965,148.76214850028137,90.8543362262417,8.868753221215405,187.23113060839057,235.62530350895878,288.09417758784264,103.46566391593635,76.53433608406367,223.52234287295843,203.31950391189613
23,23,458.17413,472.0782470703125,500.33493,443.82153,429.46893,389.99924,377.44073,373.85257,524.555,471.6297,498.09234619140625,557.7453,486.87933,540.7016,477.90897,234.44475,264.12554931640625,256.9302,271.32092,262.32675,286.61108,233.54532,237.14302,377.45242,378.35184,377.9021301269531,423.3228,423.3228,534.8508,541.1467,100.81466680569702,79.18537650850831,146.69436337057337,92.2178810411972,9.931544252587907,181.57289420902725,235.08533168713592,287.7581763859548,101.9052488471603,78.0947511528397,224.57697872232177,203.08551529130983
24,24,458.78384,471.7908020019531,500.94437,442.63724,431.87286,389.71234,377.1539,373.56577,525.16425,471.3423,498.2532653808594,558.35443,487.4889,541.3108,478.51855,234.52415,263.7532958984375,256.10876,271.39783,262.40427,285.78757,231.8261,235.42352,376.62274,377.5221,377.0724182128906,423.38937,422.49,534.9098,542.1046,99.2959677510912,80.70403224890882,145.59474389533634,92.56526446238405,9.485263095192842,180.51730736573697,235.59406368267832,288.7943629078354,102.18694142156443,77.81305857843559,224.05251581671317,204.04045769954766
25,25,458.68884,471.73065185546875,500.0629,443.3984,431.70575,389.43228,376.84018,373.24243,525.2471,472.1804,498.7137451171875,558.5262,487.47076,540.5375,478.47638,234.88393,263.6391296386719,256.45035,270.8279,261.84192,285.2055,232.18813,234.88393,376.86273,377.76132,377.31201171875,422.6913,422.6913,535.9149,542.2051,100.15919419484038,79.84080580515962,147.09984438084032,92.91626105364183,9.727489386484802,180.6811730598829,234.98423485344983,287.82409612823636,102.38335802045081,77.61670674438618,225.01341414990725,203.098096499761
26,26,461.06448,471.8453674316406,501.4928,442.19794,433.21384,389.1919,378.411,373.91898,525.7498,472.7438,499.246826171875,558.9909,488.01672,541.0227,478.13422,234.96574,264.18365478515625,256.54205,271.82526,261.93613,285.31046,233.1677,235.86476,377.0098,377.9088,377.45928955078125,422.85944,423.75845,536.1351,542.42816,95.79979945881476,84.20020054118524,147.78601884523815,92.89127622165792,9.936355386815514,179.8204050676937,235.02945180142322,287.4516563026895,102.62701228954177,77.37305254755272,224.95556244763722,203.183829034223
